,event_time,event_date,year,month,day,hour,minute,city,state,shape,duration,summary,event_url
0,05-19-21T20:15:00Z,05-19-21,05,19,21,20,15,Atlanta,GA,Sphere,10 min,Two black UFO over Atlanta one coming close to jet plane.,http://www.nuforc.org/webreports/163/S163297.html
1,05-19-21T17:25:00Z,05-19-21,05,19,21,17,25,Glens Falls,NY,Triangle,20 minutes,Triangular object over the Hudson River,http://www.nuforc.org/webreports/163/S163285.html
2,05-19-21T14:30:00Z,05-19-21,05,19,21,14,30,North Haledon,NJ,Other,20 mins,I’m no stranger to flying things but yesterday was very interestingly unusual. Attached is a drawing and that’s how close it was I coul,http://www.nuforc.org/webreports/163/S163291.html
3,05-19-21T10:50:00Z,05-19-21,05,19,21,10,50,Clarksburg,MD,Triangle,1 min,Triangle ufo,http://www.nuforc.org/webreports/163/S163298.html
4,05-19-21T01:00:00Z,05-19-21,05,19,21,01,00,Sharon Connecticut,CT,Light,1 hour,Strange star over northwestern connecticut,http://www.nuforc.org/webreports/163/S163274.html
5,05-19-21T00:23:00Z,05-19-21,05,19,21,00,23,Rosamond,CA,Formation,1 minute,Large Orange cluster of orbs,http://www.nuforc.org/webreports/163/S163273.html
6,05-18-21T00:00:00Z,05-18-21,05,18,21,00,00,Corvallis,OR,Cigar,20 seconds,"Saw cigar shaped whitish/blue object with pulsing white and blue lights in sky near home depot in Corvallis, Oregon",http://www.nuforc.org/webreports/163/S163278.html
7,05-18-21T21:25:00Z,05-18-21,05,18,21,21,25,Colton,CA,Circle,15 seconds,Bright light in the sky vanishes in seconds,http://www.nuforc.org/webreports/163/S163277.html
8,05-18-21T12:00:00Z,05-18-21,05,18,21,12,00,Lewisburg,PA,Other,All night/every night,This has been going on at my residence for the last several months. I’ve contacted the commonwealth as there’s a federal prison behind,http://www.nuforc.org/webreports/163/S163272.html
9,05-18-21T11:30:00Z,05-18-21,05,18,21,11,30,Paso Robles,CA,Sphere,5-10 seconds,"White ball traveling at very high speed, observed on clear sunny day.",http://www.nuforc.org/webreports/163/S163262.html
10,05-18-21T07:40:00Z,05-18-21,05,18,21,07,40,Perth (Australia),,Disk,5 minutes,I saw three circular shaped massive UFO's floating above my forming a triangle formation. They had flashing lights on the bottom of the,http://www.nuforc.org/webreports/163/S163244.html
11,05-18-21T04:00:00Z,05-18-21,05,18,21,04,00,Warwick,NY,Unknown,2:00,"Four blinking lights hovering without making a sound for at least 3 minutes in Orange County, NY",http://www.nuforc.org/webreports/163/S163280.html
12,05-18-21T02:00:00Z,05-18-21,05,18,21,02,00,Carlsbad,CA,Light,&gt;30 minutes,Orange dim lit orb floating in and out of the ocean,http://www.nuforc.org/webreports/163/S163268.html
13,05-18-21T00:30:00Z,05-18-21,05,18,21,00,30,Lompoc,CA,Circle,5 minutes,Strange lights formation disappearing in mid air over lompoc Ca near Airforce base.,http://www.nuforc.org/webreports/163/S163282.html
14,05-17-21T22:07:00Z,05-17-21,05,17,21,22,07,Senoia,GA,Light,1 min,Light object traveling across sky reacting to second light and defying logic of  coomon air travel,http://www.nuforc.org/webreports/163/S163242.html
15,05-17-21T21:30:00Z,05-17-21,05,17,21,21,30,Sherbrooke (Canada),QC,Fireball,25 seconds,Looked like pieces of falling meteor...instead of burning out they spaced out evenly and flew North parallel to earth at great speed.,http://www.nuforc.org/webreports/163/S163246.html
16,05-17-21T11:00:00Z,05-17-21,05,17,21,11,00,Bouctouche,,Disk,5mins,Weird lights and flying oval object with windows??!!?,http://www.nuforc.org/webreports/163/S163288.html
17,05-17-21T02:08:00Z,05-17-21,05,17,21,02,08,Northern Ireland,,Light,40seconds,There was a double line of star like lights in the following formation.: : : : : : : : : They moved in unison from west to east slo,http://www.nuforc.org/webreports/163/S163204.html
18,05-17-21T01:20:00Z,05-17-21,05,17,21,01,20,Meridian,ID,Other,~5 minutes,What looked to be a sparkling contrail was actually a massive illuminated ship that crossed the sky.,http://www.nuforc.org/webreports/163/S163215.html
19,05-17-21T01:20:00Z,05-17-21,05,17,21,01,20,Meridian,ID,Other,~5 minutes,What looked to be a sparkling contrail was actually a massive illuminated ship that crossed the sky.,http://www.nuforc.org/webreports/163/S163222.html
20,05-17-21T00:20:00Z,05-17-21,05,17,21,00,20,Fall River,MA,Fireball,3 minutes,"Early Monday morning, I was sitting on my deck looking north east that's  when I noticed a large red and orange ball of light just unde",http://www.nuforc.org/webreports/163/S163252.html
21,05-17-21T00:20:00Z,05-17-21,05,17,21,00,20,Susanville,CA,Other,2 min,"We were facing North(towards Alturas with the Sierra Nevada Mountains to our back). A &quot;string&quot; of 20 to 25 lights, moving fro",http://www.nuforc.org/webreports/163/S163221.html
22,05-17-21T00:07:00Z,05-17-21,05,17,21,00,07,Bogota,NJ,Circle,1-3 minutes,Bright green lights in the sky.,http://www.nuforc.org/webreports/163/S163239.html
23,05-17-21T00:07:00Z,05-17-21,05,17,21,00,07,Bridgewater,NH,Cylinder,3.4 minutes,"Cylindrical shape craft hovered in Northeast sky for 1 minute, then moved slowly eastward for 2.4 minutes before disappearing from view",http://www.nuforc.org/webreports/163/S163213.html
24,05-17-21T00:06:00Z,05-17-21,05,17,21,00,06,North Tonawanda,NY,Oval,,Large oval shaped object spotted with lights that had the appearance of shooting stars but it wasn't.,http://www.nuforc.org/webreports/163/S163223.html
25,05-17-21T00:00:00Z,05-17-21,05,17,21,00,00,Rutland,VT,Light,3 Min,String of Lights In The Sky,http://www.nuforc.org/webreports/163/S163230.html
26,05-16-21T23:38:00Z,05-16-21,05,16,21,23,38,Red Deer,AB,,5 Minutes,Organized line of bright objects,http://www.nuforc.org/webreports/163/S163227.html
27,05-16-21T23:10:00Z,05-16-21,05,16,21,23,10,Richland,WA,Circle,.5 hour,3 events of multiple UFO’ a with 1/2 hour span,http://www.nuforc.org/webreports/163/S163224.html
28,05-16-21T23:00:00Z,05-16-21,05,16,21,23,00,Bellingham,WA,Light,20 min,numerous pinpricks of light following each other evenly spaced,http://www.nuforc.org/webreports/163/S163236.html
29,05-16-21T22:40:00Z,05-16-21,05,16,21,22,40,Keizer,OR,Circle,5 minutes or longer,This was either a formation or a single craft with many lights on the outside. It was moving very slowly across the sky above my house.,http://www.nuforc.org/webreports/163/S163225.html
30,05-16-21T21:30:00Z,05-16-21,05,16,21,21,30,Williamsport,MD,Formation,10 minutes?,"varying pattern of blinking lights VERY bright, shaped like an inverted question mark",http://www.nuforc.org/webreports/163/S163216.html
31,05-16-21T20:15:00Z,05-16-21,05,16,21,20,15,Grand Rapids,MI,Light,1-2 minutes,Bright white light in twilight sky.,http://www.nuforc.org/webreports/163/S163211.html
32,05-16-21T20:00:00Z,05-16-21,05,16,21,20,00,hiram,GA,Other,2 minutes,"metallic craft at high altitude with no contrail,obviuosly not an aerodynamic craft",http://www.nuforc.org/webreports/163/S163212.html
33,05-16-21T19:00:00Z,05-16-21,05,16,21,19,00,Jacksonville,NC,Circle,Hour,Three bright orbs spaced apart and aligned with the moon.,http://www.nuforc.org/webreports/163/S163198.html
34,05-16-21T18:30:00Z,05-16-21,05,16,21,18,30,Frenchtown,NJ,Other,2 minutes,Black object effortlessly floated without the use of wings or engine.,http://www.nuforc.org/webreports/163/S163203.html
35,05-16-21T18:00:00Z,05-16-21,05,16,21,18,00,Glendale,CA,Sphere,10 min,Black spherical ufo,http://www.nuforc.org/webreports/163/S163200.html
36,05-16-21T15:55:00Z,05-16-21,05,16,21,15,55,Niagara falls,NY,Oval,2 minutes,Black oval object with windows shot straight up through cloud's,http://www.nuforc.org/webreports/163/S163180.html
37,05-16-21T15:45:00Z,05-16-21,05,16,21,15,45,New Baltimore,MI,Circle,3 minutes,Reflective slow moving white ball,http://www.nuforc.org/webreports/163/S163202.html
38,05-16-21T14:30:00Z,05-16-21,05,16,21,14,30,San Pedro,CA,Circle,10-15 seconds,Unbelievable! Very large circle shadow drifted across the water and docks at the port of los angeles headed north east.shadow was about,http://www.nuforc.org/webreports/163/S163228.html
39,05-16-21T12:42:00Z,05-16-21,05,16,21,12,42,Otsego,MN,Disk,2 min,We observed a comet about 10 minutes before. We were fishing by the boat launch opening and looked up and say a line of lights. The li,http://www.nuforc.org/webreports/163/S163238.html
40,05-16-21T12:05:00Z,05-16-21,05,16,21,12,05,Plymouth,MA,Cigar,3 min,"Large dull white cigar or disc hovered, gradually glided east where it vanished as if the night sky absorbed it, it made no sound",http://www.nuforc.org/webreports/163/S163234.html
41,05-16-21T10:00:00Z,05-16-21,05,16,21,10,00,Portland,OR,Formation,10 seconds,Formation of lights across the night sky in Portland,http://www.nuforc.org/webreports/163/S163207.html
42,05-16-21T09:54:00Z,05-16-21,05,16,21,09,54,Vincent,AL,Light,35 minutes,Two objects were headed towards each other then they stopped abruptly. They headed east and 3 other objects came from the east and stop,http://www.nuforc.org/webreports/163/S163264.html
43,05-16-21T09:30:00Z,05-16-21,05,16,21,09,30,ROCHESTER,NY,Rectangle,3 seconds,At around 9:30pm may 16 2021 we had a crescent moon so i brought out the telescope to look at the moon. while looking at a the moon ver,http://www.nuforc.org/webreports/163/S163217.html
44,05-16-21T09:00:00Z,05-16-21,05,16,21,09,00,McDonald,PA,Unknown,1.5 hours,"15 crafts in space that raced, darted, faded in and out, pretended to be stars, and wobbled in all directions in the sky.",http://www.nuforc.org/webreports/163/S163235.html
45,05-16-21T08:17:00Z,05-16-21,05,16,21,08,17,Belen,NM,Circle,10 min,As I pulled to the light on my way into the city for work I noticed a big silver metal sphere in the sky not moving so I pulled over an,http://www.nuforc.org/webreports/163/S163231.html
46,05-16-21T05:30:00Z,05-16-21,05,16,21,05,30,Fort Myers,FL,Other,~2,Quick moving object in the sky,http://www.nuforc.org/webreports/163/S163187.html
47,05-16-21T04:00:00Z,05-16-21,05,16,21,04,00,Newberg,OR,Light,Aprox: 2 minutes,"there was a spherical light emitting a green laser, pointing diagonally towards the surface of the ground. from the lazer were smaller",http://www.nuforc.org/webreports/163/S163256.html
48,05-16-21T01:00:00Z,05-16-21,05,16,21,01,00,Kamloops (Canada),BC,Cigar,1 minute,"Lackluster sighting in comparison to other sightings, but , I was camping with my girlfriend  when we noticed what we initially thought",http://www.nuforc.org/webreports/163/S163248.html
49,05-16-21T00:12:00Z,05-16-21,05,16,21,00,12,Bowdoin,ME,Formation,10 seconds,Very large silent Light formation moving at plane speed.,http://www.nuforc.org/webreports/163/S163233.html
50,05-16-21T00:05:00Z,05-16-21,05,16,21,00,05,Utica,NY,Other,30,Seen A Stick Shaped UFO,http://www.nuforc.org/webreports/163/S163197.html
